"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 24 19:48:08 GMT 2021","Sat Jul 24 19:48:22 GMT 2021","14017","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldDeclinedWithDeclinedCard","Заявка ""Оплата по карте"", заполненная данными карты со статусом Declined отклонена банком",""
"failed","Sat Jul 24 19:50:08 GMT 2021","Sat Jul 24 19:50:13 GMT 2021","4395","","ru.netology.cases.MainPageTest","","ru.netology.cases.MainPageTest","shouldCorrectPresentation","Презентация главной страницы",""
"passed","Sat Jul 24 19:47:46 GMT 2021","Sat Jul 24 19:47:54 GMT 2021","8337","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldApprovedCreditByCardIntoDatabase","После успешной заявки ""Купить в кредит"", данные о платеже со статусом APPROVED сохраняются в базе данных",""
"failed","Sat Jul 24 19:48:22 GMT 2021","Sat Jul 24 19:48:26 GMT 2021","4654","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendEmptyFields","Пустая форма заявки ""Оплата по карте"" не отправляется в банк",""
"passed","Sat Jul 24 19:49:43 GMT 2021","Sat Jul 24 19:49:46 GMT 2021","3096","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldDeclinedWithInvalidCard","Заявка ""Кредит по данным карты"", заполненная невалидными данными карты, отклонена банком",""
"failed","Sat Jul 24 19:47:54 GMT 2021","Sat Jul 24 19:48:05 GMT 2021","10673","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldEqualsAmountsApprovedOrderByCardIntoDatabase","После успешной заявки ""Оплата по карте"" сумма платежа равна сумме платежа в базе данных",""
"failed","Sat Jul 24 19:48:31 GMT 2021","Sat Jul 24 19:48:41 GMT 2021","9689","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithTooSmallMonth","Заявка ""Оплата по карте"" не отправляется со значением месяца, меньше ""01"", в поле ""Месяц""",""
"passed","Sat Jul 24 19:48:50 GMT 2021","Sat Jul 24 19:48:51 GMT 2021","849","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithIncorrectCvc","Заявка ""Оплата по карте"" не отправляется с невалидным значением в поле ""CVC/CVV""",""
"passed","Sat Jul 24 19:49:54 GMT 2021","Sat Jul 24 19:49:55 GMT 2021","857","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithIncorrectCvc","Заявка ""Кредит по данным карты"" не отправляется с невалидным значением в поле ""CVC/CVV""",""
"passed","Sat Jul 24 19:50:13 GMT 2021","Sat Jul 24 19:50:13 GMT 2021","79","","ru.netology.cases.MainPageTest","","ru.netology.cases.MainPageTest","shouldOpenOnLocalhost","Страница ""Путешествие дня"" доступна по адресу localhost:8080",""
