"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 22 17:40:08 GMT 2021","Thu Jul 22 17:40:13 GMT 2021","5135","","ru.netology.cases.OrderByCredit","","ru.netology.cases.OrderByCredit","shouldNotSendWithTooSmallMonth","Заявка ""Кредит по данным карты"" не отправляется со значением месяца, меньше ""01"", в поле ""Месяц""",""
"passed","Thu Jul 22 17:40:28 GMT 2021","Thu Jul 22 17:40:29 GMT 2021","933","","ru.netology.cases.OrderByCredit","","ru.netology.cases.OrderByCredit","shouldNotSendWithIncorrectCvc","Заявка ""Кредит по данным карты"" не отправляется с невалидным значением в поле ""CVC/CVV""",""
"failed","Thu Jul 22 17:38:44 GMT 2021","Thu Jul 22 17:38:49 GMT 2021","5170","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldStoreDeclinedCreditByCardIntoDatabase","После отклоненной заявки ""Купить в кредит"", данные о заявке со статусом DECLINED сохраняются в базе данных",""
"passed","Thu Jul 22 17:38:49 GMT 2021","Thu Jul 22 17:38:50 GMT 2021","941","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithNextPeriod","Заявка ""Оплата по карте"" не отправляется со значением года далекого будущего периода в поле ""Год""",""
"passed","Thu Jul 22 17:38:15 GMT 2021","Thu Jul 22 17:38:29 GMT 2021","14261","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldStoreDeclinedOrderByCardIntoDatabase","После отклоненной заявки ""Оплата по карте"", данные о заявке со статусом DECLINED сохраняются в базе данных",""
"passed","Thu Jul 22 17:40:23 GMT 2021","Thu Jul 22 17:40:24 GMT 2021","845","","ru.netology.cases.OrderByCredit","","ru.netology.cases.OrderByCredit","shouldNotSendWithPastPeriod","Заявка ""Кредит по данным карты"" не отправляется со значением года прошлого периода в поле ""Год""",""
"failed","Thu Jul 22 17:39:35 GMT 2021","Thu Jul 22 17:39:40 GMT 2021","5180","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithCyrillicOwner","Заявка ""Оплата по карте"" не отправляется с символами на кириллице в поле ""Владелец""",""
"passed","Thu Jul 22 17:38:29 GMT 2021","Thu Jul 22 17:38:35 GMT 2021","5123","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldApprovedOrderByCardIntoDatabase","После успешной заявки ""Оплата по карте"", данные о платеже со статусом APPROVED сохраняются в базе данных",""
"passed","Thu Jul 22 17:39:30 GMT 2021","Thu Jul 22 17:39:31 GMT 2021","926","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithPastPeriod","Заявка ""Оплата по карте"" не отправляется со значением года прошлого периода в поле ""Год""",""
"passed","Thu Jul 22 17:40:24 GMT 2021","Thu Jul 22 17:40:28 GMT 2021","3858","","ru.netology.cases.OrderByCredit","","ru.netology.cases.OrderByCredit","shouldApprovedWithApprovedCard","Заявка ""Кредит по данным карты"", заполненная валидными данными карты со статусом Approved успешно одобрена банком",""
