"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 24 19:46:56 GMT 2021","Sat Jul 24 19:47:01 GMT 2021","5140","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotVisibleValidatedErrorsAfterFillValidData","Ошибки валидации не отображаются при заполнении полей валидными данными",""
"passed","Sat Jul 24 19:47:37 GMT 2021","Sat Jul 24 19:47:38 GMT 2021","940","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithShortCardNumber","Заявка ""Оплата по карте"" не отправляется с невалидным значением в поле ""Номер карты""",""
"passed","Sat Jul 24 19:47:16 GMT 2021","Sat Jul 24 19:47:17 GMT 2021","799","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithTooBigMonth","Заявка ""Оплата по карте"" не отправляется со значением месяца, больше ""12"", в поле ""Месяц""",""
"passed","Sat Jul 24 19:48:18 GMT 2021","Sat Jul 24 19:48:19 GMT 2021","757","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithTooBigMonth","Заявка ""Кредит по данным карты"" не отправляется со значением месяца, больше ""12"", в поле ""Месяц""",""
"failed","Sat Jul 24 19:47:24 GMT 2021","Sat Jul 24 19:47:37 GMT 2021","12662","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithCyrillicOwner","Заявка ""Оплата по карте"" не отправляется с символами на кириллице в поле ""Владелец""",""
"passed","Sat Jul 24 19:47:18 GMT 2021","Sat Jul 24 19:47:23 GMT 2021","5131","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldApprovedWithApprovedCard","Заявка ""Оплата по карте"", заполненная валидными данными карты со статусом Approved успешно одобрена банком",""
"passed","Sat Jul 24 19:46:34 GMT 2021","Sat Jul 24 19:46:36 GMT 2021","2349","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldStoreDeclinedCreditByCardIntoDatabase","После отклоненной заявки ""Купить в кредит"", данные о заявке со статусом DECLINED сохраняются в базе данных",""
"failed","Sat Jul 24 19:47:56 GMT 2021","Sat Jul 24 19:48:01 GMT 2021","5031","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotVisibleValidatedErrorsAfterFillValidData","Ошибки валидации не отображаются при заполнении полей валидными данными",""
"passed","Sat Jul 24 19:48:36 GMT 2021","Sat Jul 24 19:48:37 GMT 2021","785","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithShortCardNumber","Заявка ""Кредит по данным карты"" не отправляется с невалидным значением в поле ""Номер карты""",""
"failed","Sat Jul 24 19:48:37 GMT 2021","Sat Jul 24 19:48:41 GMT 2021","4284","","ru.netology.cases.MainPageTest","","ru.netology.cases.MainPageTest","shouldCorrectPresentation","Презентация главной страницы",""
"passed","Sat Jul 24 19:46:13 GMT 2021","Sat Jul 24 19:46:24 GMT 2021","10776","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldApprovedCreditByCardIntoDatabase","После успешной заявки ""Купить в кредит"", данные о платеже со статусом APPROVED сохраняются в базе данных",""
"passed","Sat Jul 24 19:47:38 GMT 2021","Sat Jul 24 19:47:38 GMT 2021","822","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithNextPeriod","Заявка ""Кредит по данным карты"" не отправляется со значением года далекого будущего периода в поле ""Год""",""
"passed","Sat Jul 24 19:47:23 GMT 2021","Sat Jul 24 19:47:24 GMT 2021","803","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithIncorrectCvc","Заявка ""Оплата по карте"" не отправляется с невалидным значением в поле ""CVC/CVV""",""
"passed","Sat Jul 24 19:48:41 GMT 2021","Sat Jul 24 19:48:41 GMT 2021","139","","ru.netology.cases.MainPageTest","","ru.netology.cases.MainPageTest","shouldOpenOnLocalhost","Страница ""Путешествие дня"" доступна по адресу localhost:8080",""
"passed","Sat Jul 24 19:45:44 GMT 2021","Sat Jul 24 19:46:04 GMT 2021","20203","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldStoreDeclinedOrderByCardIntoDatabase","После отклоненной заявки ""Оплата по карте"", данные о заявке со статусом DECLINED сохраняются в базе данных",""
"passed","Sat Jul 24 19:47:17 GMT 2021","Sat Jul 24 19:47:18 GMT 2021","832","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithPastPeriod","Заявка ""Оплата по карте"" не отправляется со значением года прошлого периода в поле ""Год""",""
"failed","Sat Jul 24 19:47:38 GMT 2021","Sat Jul 24 19:47:51 GMT 2021","12841","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldDeclinedWithDeclinedCard","Заявка ""Кредит по данным карты"", заполненная данными карты со статусом Declined отклонена банком",""
"passed","Sat Jul 24 19:46:36 GMT 2021","Sat Jul 24 19:46:37 GMT 2021","852","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithNextPeriod","Заявка ""Оплата по карте"" не отправляется со значением года далекого будущего периода в поле ""Год""",""
"passed","Sat Jul 24 19:48:19 GMT 2021","Sat Jul 24 19:48:20 GMT 2021","886","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithPastPeriod","Заявка ""Кредит по данным карты"" не отправляется со значением года прошлого периода в поле ""Год""",""
