"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 27 19:08:20 GMT 2021","Tue Jul 27 19:08:21 GMT 2021","1090","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithIncorrectCvc","Заявка ""Кредит по данным карты"" не отправляется с невалидным значением в поле ""CVC/CVV""",""
"failed","Tue Jul 27 19:07:10 GMT 2021","Tue Jul 27 19:07:19 GMT 2021","9546","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithCyrillicOwner","Заявка ""Оплата по карте"" не отправляется с символами на кириллице в поле ""Владелец""",""
"failed","Tue Jul 27 19:08:33 GMT 2021","Tue Jul 27 19:08:38 GMT 2021","4326","","ru.netology.cases.MainPageTest","","ru.netology.cases.MainPageTest","shouldCorrectPresentation","Презентация главной страницы",""
"passed","Tue Jul 27 19:08:12 GMT 2021","Tue Jul 27 19:08:20 GMT 2021","7236","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldApprovedWithApprovedCard","Заявка ""Кредит по данным карты"", заполненная валидными данными карты со статусом Approved успешно одобрена банком",""
"failed","Tue Jul 27 19:07:41 GMT 2021","Tue Jul 27 19:07:46 GMT 2021","5279","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotVisibleValidatedErrorsAfterFillValidData","Ошибки валидации не отображаются при заполнении полей валидными данными",""
"failed","Tue Jul 27 19:06:16 GMT 2021","Tue Jul 27 19:06:36 GMT 2021","19733","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldDeclinedWithDeclinedCard","Заявка ""Оплата по карте"", заполненная данными карты со статусом Declined отклонена банком",""
"passed","Tue Jul 27 19:07:02 GMT 2021","Tue Jul 27 19:07:09 GMT 2021","6652","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldApprovedWithApprovedCard","Заявка ""Оплата по карте"", заполненная валидными данными карты со статусом Approved успешно одобрена банком",""
"failed","Tue Jul 27 19:06:46 GMT 2021","Tue Jul 27 19:06:56 GMT 2021","9673","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithTooSmallMonth","Заявка ""Оплата по карте"" не отправляется со значением месяца, меньше ""01"", в поле ""Месяц""",""
"failed","Tue Jul 27 19:08:21 GMT 2021","Tue Jul 27 19:08:32 GMT 2021","11537","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithCyrillicOwner","Заявка ""Кредит по данным карты"" не отправляется с символами на кириллице в поле ""Владелец""",""
"passed","Tue Jul 27 19:07:09 GMT 2021","Tue Jul 27 19:07:10 GMT 2021","969","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithIncorrectCvc","Заявка ""Оплата по карте"" не отправляется с невалидным значением в поле ""CVC/CVV""",""
"failed","Tue Jul 27 19:06:41 GMT 2021","Tue Jul 27 19:06:46 GMT 2021","5271","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotVisibleValidatedErrorsAfterFillValidData","Ошибки валидации не отображаются при заполнении полей валидными данными",""
"passed","Tue Jul 27 19:08:38 GMT 2021","Tue Jul 27 19:08:38 GMT 2021","90","","ru.netology.cases.MainPageTest","","ru.netology.cases.MainPageTest","shouldOpenOnLocalhost","Страница ""Путешествие дня"" доступна по адресу localhost:8080",""
"failed","Tue Jul 27 19:07:46 GMT 2021","Tue Jul 27 19:08:01 GMT 2021","15013","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithTooSmallMonth","Заявка ""Кредит по данным карты"" не отправляется со значением месяца, меньше ""01"", в поле ""Месяц""",""
"passed","Tue Jul 27 19:05:50 GMT 2021","Tue Jul 27 19:05:56 GMT 2021","6059","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldApprovedCreditByCardIntoDatabase","После успешной заявки ""Купить в кредит"", данные о платеже со статусом APPROVED сохраняются в базе данных",""
"passed","Tue Jul 27 19:06:56 GMT 2021","Tue Jul 27 19:07:00 GMT 2021","4562","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldDeclinedWithInvalidCard","Заявка ""Оплата по карте"", заполненная невалидными данными карты, отклонена банком",""
