"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 27 16:26:36 GMT 2021","Tue Jul 27 16:26:52 GMT 2021","15653","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldEqualsAmountsApprovedCreditByCardIntoDatabase","После успешной заявки ""Купить в кредит"" сумма платежа равна сумме платежа в базе данных",""
"failed","Tue Jul 27 16:29:21 GMT 2021","Tue Jul 27 16:29:34 GMT 2021","12986","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithCyrillicOwner","Заявка ""Кредит по данным карты"" не отправляется с символами на кириллице в поле ""Владелец""",""
"passed","Tue Jul 27 16:26:16 GMT 2021","Tue Jul 27 16:26:26 GMT 2021","9611","","ru.netology.cases.DataBaseTest","","ru.netology.cases.DataBaseTest","shouldStoreDeclinedOrderByCardIntoDatabase","После отклоненной заявки ""Оплата по карте"", данные о заявке со статусом DECLINED сохраняются в базе данных",""
"passed","Tue Jul 27 16:27:53 GMT 2021","Tue Jul 27 16:28:04 GMT 2021","11022","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldDeclinedWithInvalidCard","Заявка ""Оплата по карте"", заполненная невалидными данными карты, отклонена банком",""
"failed","Tue Jul 27 16:27:11 GMT 2021","Tue Jul 27 16:27:29 GMT 2021","18225","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldDeclinedWithDeclinedCard","Заявка ""Оплата по карте"", заполненная данными карты со статусом Declined отклонена банком",""
"failed","Tue Jul 27 16:27:34 GMT 2021","Tue Jul 27 16:27:39 GMT 2021","5226","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotVisibleValidatedErrorsAfterFillValidData","Ошибки валидации не отображаются при заполнении полей валидными данными",""
"passed","Tue Jul 27 16:29:11 GMT 2021","Tue Jul 27 16:29:20 GMT 2021","9290","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldApprovedWithApprovedCard","Заявка ""Кредит по данным карты"", заполненная валидными данными карты со статусом Approved успешно одобрена банком",""
"passed","Tue Jul 27 16:28:05 GMT 2021","Tue Jul 27 16:28:06 GMT 2021","1011","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithPastPeriod","Заявка ""Оплата по карте"" не отправляется со значением года прошлого периода в поле ""Год""",""
"passed","Tue Jul 27 16:27:10 GMT 2021","Tue Jul 27 16:27:11 GMT 2021","1138","","ru.netology.cases.OrderByCardTest","","ru.netology.cases.OrderByCardTest","shouldNotSendWithNextPeriod","Заявка ""Оплата по карте"" не отправляется со значением года далекого будущего периода в поле ""Год""",""
"passed","Tue Jul 27 16:29:10 GMT 2021","Tue Jul 27 16:29:11 GMT 2021","1061","","ru.netology.cases.OrderByCreditTest","","ru.netology.cases.OrderByCreditTest","shouldNotSendWithPastPeriod","Заявка ""Кредит по данным карты"" не отправляется со значением года прошлого периода в поле ""Год""",""
